Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
Belarus,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,749.5,Back-end developer;Designer;Front-end developer;Full-stack developer;QA or test developer,JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,9684.0
Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,4.0,1.0,Employed part-time,0.5,Desktop or enterprise applications developer;Educator or academic researcher;Mobile developer;Student,C;Haskell;Java;JavaScript;Matlab;Swift,6756.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,0.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer;Product manager;System administrator,C;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,60000.0
Hungary,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,1.0,1.0,Employed full-time,299.5,Back-end developer;Front-end developer;Full-stack developer;System administrator,C;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript;HTML;CSS,23820.0
Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10.0,4.0,Employed full-time,749.5,Back-end developer;DevOps specialist;Mobile developer;QA or test developer,Assembly;C;C++;Go;Java;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell,26196.0
United Kingdom,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,7.0,4.0,Employed full-time,59.5,Back-end developer;DevOps specialist;System administrator,JavaScript;Python;SQL;HTML;Bash/Shell,65285.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,30.0,25.0,Employed full-time,299.5,Back-end developer,Groovy;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,105000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,14.5,Front-end developer;Full-stack developer,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,85000.0
Romania,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,0.5,Full-stack developer,,51408.0
Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,19.0,Employed full-time,59.5,Back-end developer;Full-stack developer,C#;SQL;TypeScript;HTML;CSS,52932.0
Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,10.0,Full-stack developer;Mobile developer;System administrator,C;C++;C#;Groovy;Java;JavaScript;Python;SQL;Cobol;HTML;CSS;Bash/Shell,168300.0
Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,16.0,4.0,Employed full-time,299.5,Back-end developer;Data scientist or machine learning specialist,JavaScript;Python,92600.0
Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,299.5,Back-end developer;Designer;Front-end developer,C;C++;C#;Java;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS,11916.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,2.5,Full-stack developer;Game or graphics developer,C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,81200.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",4.0,4.0,Employed full-time,0.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer;QA or test developer,C#;JavaScript;PHP;Python;SQL;HTML;CSS,62000.0
Germany,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",16.0,10.0,Employed full-time,59.5,Back-end developer;Desktop or enterprise applications developer;Educator or academic researcher,Java;Python,53851.0
Ukraine,Primary/elementary school,,4.0,1.0,Employed full-time,14.5,Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer,C#;Python;HTML;CSS,3444.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,19.0,Employed full-time,14.5,Back-end developer;Data or business analyst;Database administrator;Desktop or enterprise applications developer;Mobile developer;Product manager;QA or test developer,C#;JavaScript;SQL,104178.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",30.0,30.0,Employed full-time,10.0,DevOps specialist,Go;Groovy;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell,127500.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,30.0,19.0,Employed full-time,299.5,"C-suite executive (CEO, CTO, etc.);Database administrator;Desktop or enterprise applications developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;Product manager;QA or test developer",C#;JavaScript;SQL;TypeScript;VB.NET;Visual Basic 6;HTML;CSS,83342.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,25.0,7.0,Employed full-time,5.0,Back-end developer;Database administrator;Front-end developer;Mobile developer,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,44064.0
Sri Lanka,,,7.0,4.0,Employed part-time,59.5,Back-end developer;DevOps specialist;Full-stack developer;Mobile developer,JavaScript;PHP;Python;SQL;HTML;CSS,3744.0
United Kingdom,Some college/university study without earning a degree,"Information systems, information technology, or system administration",7.0,4.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,JavaScript;PHP;Python;HTML;CSS;Bash/Shell,41671.0
Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",22.0,7.0,Employed full-time,5.0,Mobile developer,JavaScript;Objective-C;HTML;CSS,65978.0
Bosnia and Herzegovina,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;HTML,28800.0
United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,1.0,1.0,Employed part-time,10.0,Front-end developer;QA or test developer;Student,Assembly;C++;C#;Java;Python;SQL;CSS,24000.0
Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",19.0,16.0,Employed part-time,59.5,Desktop or enterprise applications developer;Full-stack developer;Mobile developer,Java;Delphi/Object Pascal;Bash/Shell,58752.0
Ireland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",4.0,4.0,Employed full-time,0.5,,C++;Python;VBA;HTML;CSS,91791.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,0.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer;Mobile developer,C;C++;C#;CoffeeScript;Java;JavaScript;Objective-C;SQL;Swift;TypeScript;Visual Basic 6;HTML;CSS;Bash/Shell,100000.0
Brazil,Associate degree,"Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,14.5,Back-end developer;Front-end developer;Full-stack developer,JavaScript;Python;TypeScript;HTML;CSS;Bash/Shell,18720.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,16.0,4.0,Employed full-time,299.5,Back-end developer;Database administrator;Front-end developer;Mobile developer;Student,C++;C#;Java;JavaScript;PHP;HTML;CSS,10800.0
United Kingdom,Some college/university study without earning a degree,"Information systems, information technology, or system administration",7.0,7.0,Employed full-time,299.5,Back-end developer,C#;JavaScript;SQL;HTML;CSS,61118.0
Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,5.0,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,JavaScript;HTML;CSS,8580.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,10.0,Employed full-time,749.5,Front-end developer;Full-stack developer,C#;JavaScript;PHP;SQL;HTML;CSS,62418.0
Norway,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",28.0,19.0,Employed part-time,59.5,Back-end developer;Embedded applications or devices developer,Assembly;C;C++;Java;PHP;Python;Ruby;Rust;SQL;HTML;CSS;Bash/Shell,81615.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;TypeScript;HTML;CSS,9012.0
Sweden,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,10.0,Full-stack developer,C#;JavaScript;Lua;Python;SQL;HTML;CSS,40428.0
Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,7.0,1.0,Employed full-time,5.0,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;QA or test developer;Student,Assembly;C;C++;C#;Java;JavaScript;Python;R;SQL;HTML;Bash/Shell,24150.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,4.0,4.0,Employed full-time,749.5,Back-end developer;Full-stack developer,PHP;SQL;HTML;CSS,80564.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,299.5,Front-end developer;Full-stack developer;Mobile developer,JavaScript;Ruby;HTML;CSS,90000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,13.0,Employed full-time,749.5,Full-stack developer;Mobile developer,Java;Swift,140000.0
Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,1.0,1.0,Employed full-time,2.5,Back-end developer;Student,Assembly;C;C++;F#;Haskell;Java;Matlab;Python;R;Ruby;SQL;Bash/Shell,37050.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,10.0,Back-end developer;DevOps specialist;Full-stack developer,C#;Java;JavaScript;PHP;Python;Scala;Bash/Shell,109000.0
Germany,Associate degree,Web development or web design,4.0,1.0,Employed full-time,299.5,Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;QA or test developer;System administrator,C#;Java;JavaScript;PHP;Python;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,29376.0
"Iran, Islamic Republic of...","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist,Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,18000.0
Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,299.5,Full-stack developer,C#;Java;JavaScript;Python;R;SQL;HTML;CSS;Bash/Shell,35492.0
Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10.0,7.0,Employed full-time,5.0,Back-end developer;Mobile developer,C;Java;JavaScript;Matlab;Objective-C;PHP;SQL;Swift;HTML;CSS,22030.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;TypeScript;HTML;CSS,168000.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,10.0,Employed full-time,10.0,Back-end developer,C;C++;C#;Java;JavaScript;PHP;TypeScript;HTML;CSS,105253.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,14.5,Back-end developer;Data or business analyst;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;System administrator,Erlang;Go;JavaScript;CSS,100000.0
Brazil,"Professional degree (JD, MD, etc.)","Information systems, information technology, or system administration",4.0,1.0,Employed full-time,299.5,Back-end developer;Full-stack developer,C++;C#;JavaScript;SQL,25452.0
Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,14.5,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;TypeScript;HTML;CSS,38184.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer,JavaScript;Ruby;SQL;HTML;CSS,13306.0
Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",10.0,7.0,Employed full-time,5.0,Back-end developer;DevOps specialist;Full-stack developer,JavaScript;PHP;SQL;HTML;CSS,21600.0
Nepal,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Back-end developer;Product manager,C++;Java;PHP;SQL,4704.0
United States,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",7.0,7.0,Employed full-time,10.0,Front-end developer;Full-stack developer,,103000.0
Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer;Student,C;C++;C#;Go;JavaScript;Lua;Matlab;Python;Scala;Bash/Shell,35492.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,5.0,Back-end developer,JavaScript;Python;HTML,61118.0
Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,5.0,Mobile developer;Student,Java;Python,19068.0
Finland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer;Front-end developer;Full-stack developer;System administrator,C++;JavaScript;Python;HTML;CSS,41124.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,1.0,Employed full-time,59.5,Back-end developer;Mobile developer;QA or test developer,Swift,55075.0
United Kingdom,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,5.0,Back-end developer;Front-end developer;Full-stack developer,JavaScript;HTML;CSS,58340.0
Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,299.5,Mobile developer,Objective-C;SQL;Swift,70212.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",7.0,4.0,Employed full-time,749.5,Back-end developer;Front-end developer;Full-stack developer,CoffeeScript;JavaScript;Python;HTML;CSS,23482.0
Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",19.0,13.0,Employed full-time,10.0,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,JavaScript;SQL,62367.0
Turkey,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,10.0,Data or business analyst,Assembly;C;C++;C#;Haskell;Java;JavaScript;Matlab;PHP;R;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,19068.0
Poland,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A health science (ex. nursing, pharmacy, radiology)",1.0,1.0,Employed full-time,10.0,Front-end developer,JavaScript;HTML;CSS,14112.0
Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",4.0,1.0,Employed full-time,0.5,Embedded applications or devices developer,C++;Matlab,374508.0
Hungary,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",7.0,4.0,Employed full-time,5.0,Back-end developer;Database administrator;System administrator,C;C++;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,7140.0
Greece,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,59.5,Back-end developer;Full-stack developer,Java;JavaScript;TypeScript;Kotlin,42836.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,10.0,Full-stack developer,Assembly;C;C++;Groovy;Java;JavaScript;Matlab;Python;R;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,110149.0
Brazil,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,299.5,Embedded applications or devices developer,C;C++;JavaScript;Python;SQL;Delphi/Object Pascal;HTML;CSS;Bash/Shell,21012.0
United States,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",28.0,28.0,Employed full-time,10.0,Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C++;C#;Java;SQL;TypeScript;HTML;CSS,140000.0
Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,749.5,Front-end developer,C;C++;JavaScript;SQL;Delphi/Object Pascal;Bash/Shell,23352.0
Bangladesh,,,4.0,4.0,Employed full-time,5.0,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;Student,JavaScript;PHP;SQL;HTML;CSS,2892.0
Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,59.5,Mobile developer,C;C++;Java;JavaScript;Objective-C;Swift;TypeScript;Kotlin;HTML;CSS;Bash/Shell,79552.0
Lebanon,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,0.5,Data or business analyst,SQL,50000.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,1.0,Employed part-time,14.5,Back-end developer;Front-end developer;Full-stack developer;Student,C;C#;JavaScript;Python;Rust;HTML;CSS;Bash/Shell,27300.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,4.0,Employed full-time,10.0,Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer,C++;C#;Java;JavaScript;Objective-C;PHP;Ruby;Scala;SQL;VBA;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,71000.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",4.0,1.0,Employed full-time,59.5,Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;System administrator,Java;JavaScript;Python;HTML;CSS,9396.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Web development or web design,13.0,10.0,Employed full-time,299.5,Designer;Front-end developer;Full-stack developer,C#;JavaScript;PHP;Python;TypeScript;VB.NET;HTML;CSS,89632.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",7.0,1.0,Employed full-time,0.5,Back-end developer;Front-end developer;Full-stack developer,Clojure;JavaScript;Lua;Perl;Python;SQL;HTML;CSS;Bash/Shell,130000.0
Singapore,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",4.0,4.0,Employed full-time,5.0,Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,36336.0
Germany,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Front-end developer;Game or graphics developer;Student,C#;Java;JavaScript;SQL;TypeScript,13212.0
Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,7.0,4.0,Employed full-time,299.5,Back-end developer,Go;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,38184.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,299.5,Front-end developer,C++;C#,90000.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,0.5,Back-end developer;Data scientist or machine learning specialist,Java;Python;R;Scala;SQL;Bash/Shell,21916.0
Australia,,,10.0,4.0,Employed full-time,0.5,Back-end developer;Front-end developer,JavaScript;PHP;Ruby;SQL;HTML;CSS,50000.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",4.0,4.0,Employed full-time,299.5,Data scientist or machine learning specialist;Educator or academic researcher;Student,Lua;Python;R;Bash/Shell,25008.0
United States,Associate degree,"Computer science, computer engineering, or software engineering",7.0,7.0,Employed full-time,299.5,Data or business analyst;Full-stack developer,C#,91000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",1.0,1.0,Employed full-time,299.5,Front-end developer,C#;JavaScript;HTML;CSS,60000.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Back-end developer;Database administrator;Engineering manager,Java;JavaScript;Python,18785.0
Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,19.0,19.0,Employed full-time,5.0,"C-suite executive (CEO, CTO, etc.);Database administrator;Designer;Desktop or enterprise applications developer;Full-stack developer;Mobile developer;QA or test developer;Student;System administrator",C#;CoffeeScript;Java;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,159950.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",4.0,1.0,Employed part-time,749.5,Data or business analyst;Database administrator;Student,Python;R;SQL;VBA,14400.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,4.0,Employed full-time,10.0,Back-end developer;Designer,C;Java;JavaScript;HTML;CSS,4884.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,59.5,Back-end developer;Full-stack developer,Go;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,67313.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer,Groovy;Java;Python;TypeScript;HTML,9393.0
Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,4.0,Employed full-time,10.0,Back-end developer;Data scientist or machine learning specialist;Designer;Front-end developer;Full-stack developer,Java;JavaScript;HTML;CSS,910560.0
Netherlands,Associate degree,"Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,5.0,Designer;Engineering manager;Front-end developer;Mobile developer,Java;JavaScript;SQL;Kotlin;HTML;CSS,33048.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,7.0,Employed full-time,0.5,Back-end developer;Database administrator;Designer;DevOps specialist;Full-stack developer,Go;Java;Python;SQL;Bash/Shell,18780.0
Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,10.0,Employed full-time,59.5,Full-stack developer,Java;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,58752.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,0.5,Full-stack developer;Mobile developer,Groovy;Java;Bash/Shell,130000.0
Poland,Some college/university study without earning a degree,I never declared a major,22.0,16.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer,Java;JavaScript;Python;TypeScript;HTML;CSS,52932.0
Ireland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",30.0,25.0,Employed full-time,59.5,Full-stack developer,C#;JavaScript;SQL;TypeScript;HTML;CSS,734328.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",4.0,4.0,Employed full-time,59.5,Back-end developer;Full-stack developer,C#;JavaScript;SQL;HTML,95000.0
Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",25.0,19.0,Employed full-time,10.0,Back-end developer,C#;Java;SQL;HTML;Bash/Shell,68443.0
United States,Some college/university study without earning a degree,"A health science (ex. nursing, pharmacy, radiology)",7.0,7.0,Employed full-time,5.0,Back-end developer;Data or business analyst;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Marketing or sales professional;System administrator,C#;Go;Java;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,119050.0
Pakistan,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Web development or web design,25.0,22.0,Employed full-time,0.5,Back-end developer;Database administrator;Designer;Educator or academic researcher,,32532.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,4.0,1.0,Employed full-time,749.5,Back-end developer,Python;SQL,2000000.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",10.0,4.0,Employed full-time,0.5,Back-end developer;Data or business analyst;Database administrator;Embedded applications or devices developer,C#;Matlab;R;SQL;VBA;HTML;CSS,64590.0
United States,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",30.0,28.0,Employed full-time,59.5,Back-end developer,C;C++;C#;Bash/Shell,182000.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,59.5,Back-end developer;Front-end developer;Full-stack developer,JavaScript;PHP;SQL;TypeScript;HTML;CSS,55000.0
Denmark,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",30.0,16.0,Employed full-time,2.5,Data or business analyst;Database administrator;Designer;DevOps specialist;Full-stack developer;QA or test developer;System administrator,Haskell;Java;JavaScript;Perl;Python;R;Ruby;SQL;HTML;CSS;Bash/Shell,98620.0
Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,5.0,Back-end developer;Full-stack developer,Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,55075.0
United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",19.0,16.0,Employed full-time,5.0,Back-end developer;Data scientist or machine learning specialist;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;System administrator,C;C++;C#;Java;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,83342.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",1.0,1.0,Employed full-time,59.5,Back-end developer;Database administrator;DevOps specialist;System administrator,JavaScript;Python;SQL;Bash/Shell,16907.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,7.0,1.0,Employed part-time,299.5,Mobile developer;Student,C;Matlab;Objective-C;Swift,8808.0
