Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
Germany,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;System administrator,C;C++;C#;Java;JavaScript;VB.NET;HTML;CSS;Bash/Shell,73428.0
Ireland,Some college/university study without earning a degree,"Information systems, information technology, or system administration",19.0,16.0,Employed full-time,10.0,Back-end developer;Full-stack developer,,128507.0
France,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,1.0,Employed part-time,14.5,Back-end developer;Front-end developer;Student,Assembly;C;C++;C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,13212.0
United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,7.0,Employed full-time,10.0,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;QA or test developer;System administrator,C;F#;Haskell;Python;Scala,120000.0
Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,749.5,Full-stack developer,JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,48955.0
China,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,0.5,Back-end developer;Database administrator;Front-end developer,C#;Python,19500.0
China,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",13.0,4.0,Employed full-time,10.0,Back-end developer;Full-stack developer;QA or test developer,Perl;R;SQL,85708.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",1.0,1.0,Employed full-time,5.0,Back-end developer;Full-stack developer;System administrator,Java;JavaScript;SQL;HTML;CSS;Bash/Shell,36000.0
Colombia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",16.0,13.0,Employed full-time,0.5,Back-end developer;Front-end developer;Full-stack developer,Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,64116.0
United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,4.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C#;Java;JavaScript;SQL;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,45144.0
Japan,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",1.0,1.0,Employed full-time,5.0,Back-end developer;Embedded applications or devices developer;Full-stack developer,JavaScript;Ruby;SQL;HTML;CSS,32412.0
France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",16.0,10.0,Employed full-time,10.0,Embedded applications or devices developer;Engineering manager,C++;Python;Bash/Shell,52627.0
